Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
m/z,89.0249362509,115.0038866371,116.0723036863,130.0875254053,130.0876160921,145.0973611201,146.0464177215,168.9915362328,173.1045533211,179.0563523946,181.0727429736,184.9859126573,259.0229517971,267.0738607983,308.1011833938,346.0562338042
RT (s),944.5041793353,1467.7811984914,1184.3823848058,1044.0887275664,1086.0457379547,1646.099257973,1382.4200381411,1423.3403271141,1754.9372516289,1487.1789413486,1295.6570101198,1484.1597724953,1445.9488878644,1062.5063571551,1286.4991028796,1238.4222693254
ppm Error,6.02360276,0.1161951129,5.2009505563,2.5014337182,3.1985530614,6.4706892626,3.5449109312,4.3566251115,0.8857140615,1.4095819651,5.20770617,1.1495866561,1.744235845,5.8440700293,8.0603189489,1.2535657214
RT Error (s),101.9841793353,122.9411984914,157.3023848058,110.8487275663,152.8057379547,67.559257973,162.6800381411,150.2603271141,94.3772516289,103.4589413486,153.7970101198,103.9797724953,92.4688878644,146.1863571551,154.3591028796,137.0622693254
010-04011,134341016,14717051,18887139,34831293,10663569,6545493,59205177,4047413,6098529,20206405,13155447,15632529,1276283,2926733,111987143,3532941
010-04041-02,242340011,17820653,26812992,54430599,14623126,1838801,76749943,5204714,4903856,18329467,21017963,16236776,4145008,5250788,108271536,6219965
010-04063-02,128901073,10859207,21016081,44818268,11244053,2926346,56222416,2132539,4714266,8252618,12507356,8452326,4518885,2232616,120747802,3995341
010-04081-02,293779371,12662857,22624882,45196921,14965013,4626338,50321101,513882,4725148,12138551,17435874,7273745,286701,3741707,116783963,1375446
010-04082-02,196767357,13826253,20665261,38375549,10696140,1485334,62135879,10634694,4196869,9004807,13977847,10764289,7366404,3074769,121532401,9419099
010-04110-02,129180110,11058188,15975249,29696068,9944063,2893225,56190941,6186167,4889910,9945954,15438249,22538159,4414700,2466884,108409261,7007902
010-10024-02,155756892,12888862,15465796,29433764,8166753,1053745,53624018,6162500,3425011,9471165,9253251,9842952,2076260,3030984,90918699,4766661
010-14016-02,171621868,9727498,13560202,26131462,7618809,4904227,54396955,4222055,6012630,7747711,8986870,13624349,5463686,2155697,105278835,6522727
010-14043-02,140020602,7352656,13800287,25973718,7943466,15883858,39419885,1558855,6110866,5734952,10956491,4701635,4019404,2025337,73915169,4258793
010-20017,267801792,16321988,29076051,58489089,18261918,2092404,75651924,7714053,4188795,12714577,17163299,9715549,2972594,2890424,133296718,3953608
010-20053,144853361,9238266,12630295,24269262,5893648,1127712,43222666,668808,2995393,6527303,10893530,9384052,1248345,2635781,111510471,2566648
010-20080,217135449,16160336,25487074,54231895,13738914,2032813,69610426,4323555,5194862,12244700,15235919,10751374,2402471,4130604,124716397,4174236
010-20103,229861446,10458166,17535766,32088098,9887242,16022052,54709321,1279407,5702549,7544015,8793952,4924720,1729672,2193125,61097376,3440970
010-20104,175827712,15748381,15921246,35512412,9174280,5019033,54667112,5338633,5641169,8318457,13914150,9622856,5824020,3398106,128740376,6530563
010-20115,199715748,12141158,17503512,38034598,10671393,2003423,64009174,5322106,3393746,11814203,16192972,10895364,1741711,2599712,163821589,2877095
010-20144,172821442,13663250,18372000,34297689,10159008,1844443,76967500,8993398,4613386,10581355,14870662,19129367,5308776,3441753,127467694,7758197
010-20164,274920887,9345795,21786452,43477416,12445667,16848169,66416387,4209487,8373714,11613027,11267906,17979497,9280732,2099679,26700474,9506236
010-20167,263477856,14951750,34396035,75364390,20174853,3159633,75395656,7830274,6476314,17106420,18589424,28788238,10148552,4517277,142174575,15569493
010-20188,208771339,14665161,26069071,52828946,14159267,15237811,64445015,13751743,9696261,10065874,15059369,24295719,10919952,3910942,127328498,17937307
010-20190,237236691,14223407,14923935,25119383,8380327,7635178,69679948,2831031,5460403,9744578,14753384,3891113,1500073,849239,87352880,1962367
010-20213,120430691,8973741,13099495,27507693,7074520,7989004,50123783,5066909,6309054,6520225,7564489,9008632,2490171,1606233,156391309,3510845
010-20237,315820593,11810246,26331875,55314409,16202173,16281797,55107837,5814736,7673026,10330245,12793925,18454881,2755884,3025980,123945140,6371625
