Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Leucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
m/z,89.024428363,115.0037797645,116.0722204652,130.0876484805,130.0880577092,145.0986784007,146.0469225321,168.9922837332,173.1054887866,179.057317112,181.0738029226,184.9869451317,259.0251057923,267.0765084965,308.1039980108,346.060751548
RT (s),846.8781765934,1328.3319957552,1018.6771915968,926.4005079133,885.6713095424,1574.0272960299,1211.6022927225,1260.9193792846,1652.9256692356,1350.2717567441,1124.2641099021,1362.9943604986,1350.7502951204,907.3947032715,1125.6475049892,1078.6887920025
ppm Error,0.3185975518,1.0454920216,4.4839776661,3.4475256853,5.0558771738,2.6078854091,7.0013945523,8.7798869736,6.2897287365,6.7973320868,11.0613603596,6.7309166503,10.0599990805,15.7576436712,17.1955276347,14.3083200876
RT Error (s),4.3581765934,16.5080042448,8.4028084032,6.8394920867,10.1886904576,4.5127039701,8.1377072775,12.1606207154,7.6343307644,33.448243256,17.5958900979,17.1856395014,2.7297048796,8.9252967285,6.4924950109,22.6712079975
010-04022-02,140322429,15444337,20958454,10140994,37215227,21500572,77535196,4892842,7553350,12201717,18159835,3729831,8102853,2779141,47744539,2677001
010-04026-02,165176308,21738861,26707603,13796706,44536546,25418092,88023913,3088066,9567096,12317721,14716752,1991412,2821580,1604875,54732526,1363019
010-04045-02,156061319,24985162,25151371,10242224,41408667,26779503,86709724,4468976,10164452,12440887,29777891,4884272,13679781,2916690,53196750,11706028
010-04107,136533357,26656148,21076078,9484042,32494390,23134018,80283861,5573644,6999552,13720881,26702828,975119,3232626,2385286,83316773,3560067
010-04125-02,172748381,23395660,27166366,13770637,53019363,24470587,76662908,1728650,8785131,18517347,46066458,1167989,2652708,2643852,105031322,3405205
010-14029-02,155455576,25055928,26754243,13546127,49415961,28400435,88954162,5644216,9842685,16580714,25020710,4014270,6044310,3414714,67889368,4778932
010-14040-02,108840796,15539892,18569782,9117738,32109687,22258097,71576101,3635302,7991657,11680176,24078567,6421853,8924327,2515366,63898451,4184126
010-20001,121345574,19774716,18693823,9075655,29883474,22712397,88201570,2287198,6792594,14580430,23503461,1317239,1684307,2313349,60131949,1483960
010-20027,233424229,21776932,35718734,18578887,66170591,29501765,91421919,6616782,9950856,20911596,35338776,10650082,17376182,5445454,58929743,7004094
010-20032,173899271,25902554,32310161,17480589,62778130,27854972,105793418,8054032,10391263,29633868,42916910,271339,3615738,4373030,118168099,5602260
010-20034,113269491,13615432,30655893,14775980,59172341,23885624,87128036,4978123,9162517,10586256,15333744,11716743,10707711,4224438,54627648,6031987
010-20063,162325829,20694698,29056971,15154959,54806125,27193479,85201300,11284504,9154006,15865813,39685013,21024077,17140035,3955263,87835000,13372507
010-20133_rep,96772346,13282522,19392990,11192998,35099016,19388922,97713882,8647870,6746255,13487744,25242580,7241259,9823859,2646445,63012459,4997450
010-20172_rep,152879759,17105141,20024254,9780743,31984175,8522650,124116206,559110,4917036,12862838,32028643,49266,200081,2425443,55879443,1187903
010-20174,105800051,15132882,22702528,12941656,43691517,19757569,86324178,2417017,8439200,16696849,20906225,6592176,5369398,2236180,75085177,2098233
010-20178,111569685,19570749,30558386,13404702,56796663,21059795,79361593,4679777,8193553,9767706,27573047,6676672,8851002,4118923,62044574,7139261
010-20179,87957974,15708913,18145801,10390017,33017561,19528313,86889481,4082281,6641930,12783541,24215754,3674896,8150479,2628467,72614225,3569881
010-20186,108762524,17819260,19178330,10875905,35433756,20775542,76583731,2462853,7525684,18509649,28920890,1534958,5458240,3139071,45939449,2800582
010-20191,144946495,18957792,26463173,15377415,52522616,27632554,82188868,8493071,9073423,11531861,35785701,6673693,10852122,3523347,95804155,7884432
010-20230,146897936,19424842,27835205,14911881,49945378,28539963,83808291,2259008,9492892,13927221,55435897,1876398,1654645,2405728,113204349,1985595
010-20286,67757607,14214130,17265857,7738353,26548245,17538356,74375973,13898632,5629699,7302508,26123709,9186223,10040611,3018461,44336031,10821548
010-20297,133825863,22222912,27405582,12468671,52850021,22651618,81453136,4439928,8115303,12787893,33355268,4563467,8366015,4232858,43795691,3850175
010-20299,93109370,18917152,11976564,6641845,21107444,13303966,90470658,1765712,4973967,10343540,18430161,2314202,3335579,2143188,40941229,1671735
010-20332,125683475,21354090,21084822,10429119,36310256,29372086,72725980,7068539,9523763,13915608,19147355,3931231,7270002,2302494,85915663,4966695
010-20333,99316616,18559825,25682060,13288286,46340401,29313021,86379674,10900176,9847815,19276692,24185376,4708174,15674401,3856150,100707372,5905256
010-20346,86541499,14404239,16315494,8625632,28477693,16118504,88666935,3701525,5710486,10333472,16385155,5825426,7519730,2432613,40949619,2216183
010-20349,106561690,22687492,24775264,14528497,42962671,25300861,75362929,5477058,7285064,18580987,53091646,5456228,5346359,2642544,72031738,3656505
010-20360,183593966,22825150,35623602,17591420,67863997,32696099,100255541,10622213,11445172,24404834,33225412,3080351,12634938,3395600,67652479,5751162
010-20369,94245584,12728852,17377890,8887200,29445190,18237636,75653027,3859680,6356564,10589028,21828648,7437649,10613607,2539197,53478101,4025639
010-20380,116762939,18106811,21667798,10987511,38580681,21495634,82940238,3853071,7128139,9288295,35912464,2058378,3264873,2678999,84743205,2590959
010-20393,142291475,20056088,26543567,14142513,53207589,26157705,69804171,7838755,9550818,11377866,24181201,12601770,12838637,4294695,103217645,8383327
010-20400,86516363,13147995,21378949,10813496,40180148,19343214,81126248,5622121,7522930,12442054,17206468,8709865,13149918,3062731,48036658,7048825
010-20420,156273116,22620353,27717127,14578931,50256041,28739019,94819081,10499028,12750629,16536828,33403578,11778282,10645202,2438672,78985954,7575172
010-20436,99201313,15984019,19401162,7104434,35148823,17611279,88521515,5406681,7201938,11332501,18253816,4187513,9020734,2694386,54039085,4304796
010-20443,146306429,21415296,20368681,11383172,33949693,20155990,84654375,3159410,6748049,14489845,26055426,729563,3235289,3361875,54748251,2771749
010-20501,143080377,17139806,25502540,14210183,48734738,20010014,96273692,10969261,8081246,11519382,16436459,15434276,14366952,3154979,78933400,9273633
010-20525,105534789,18018036,30424714,15347228,52460940,32734649,83257091,8401992,11278638,14825059,25384133,3684888,4565939,2774266,77139725,2579435
010-20668,170333157,24545304,37234599,21770062,71699266,32857170,89210111,6011834,12759053,19571056,32975257,13278268,9622011,3380700,80226333,4540273
010-20683,180386180,17616175,23489079,9227423,42719566,20909870,92743519,4182881,10810506,9037091,17416723,3927205,4159830,4076887,60277033,2998110
010-20692,182392756,24525633,32676744,18258495,65135291,28113103,83580450,10942328,12471137,18059003,43411629,9780711,10215663,2126380,86540540,6267168
010-20703,192813405,23151800,29597969,14512081,51523824,29353913,81352810,5275969,9385923,16718480,37862475,7158222,9049751,3384432,78188496,5649620
010-20726,111964946,15571018,17647807,9904350,34730904,18853816,59794210,6352278,6613728,9663009,23557077,10726137,12509353,4232811,75027823,10352627
010-20740,101440119,17643201,18532447,9289352,32518038,18433239,80428708,2664517,6992063,9311488,15374135,2386720,2803712,1606069,50041824,1451783
010-20745,200299012,24616488,34732102,17508569,70414033,33105648,79096665,7259381,10388590,16669816,40823426,5991692,7893090,2752625,93864327,3709466
010-20746,265440677,25994263,46757669,26709149,87897005,37619138,108321024,7009314,13015323,24424138,47236046,6832152,9300157,3452303,76779879,4072905
010-20748,169624853,27792304,31390459,15377464,51761089,25090517,86090382,2884546,7675422,18574997,37523624,928758,2374138,3778313,76462008,3442517
010-20754,175749827,22217790,25676347,13278168,48458602,24964329,87291825,7416385,9140334,16409431,22208187,5044789,11731140,3774754,84814073,9795383
010-20755,171535076,20838699,38892360,21004621,76719353,32104481,84245614,5246514,12727879,17434355,30510600,6524757,3339247,2404827,71315211,3496161
010-20781,112385944,16679844,18550532,9371245,30313088,20151453,87946294,7393932,6177313,12770535,32010666,4318133,8469884,2134875,52700064,3598374
010-20805,137020359,29378028,21986283,11004836,36716821,23394135,90535357,4531055,8885445,12175881,42829143,992901,3928525,2566024,79515811,4377996
010-20810,178361520,26106397,29178732,16397981,58119153,21404464,96877909,3293831,8270338,32738849,42582044,150674,820230,3650165,93699999,4826624
010-20815,204594179,29180873,29254421,16754062,56185446,29712899,97361721,7785492,10958417,14982390,33115139,4294321,11409322,3699853,68780188,8180600
010-20820,85977119,17679868,23317118,12127441,43145894,23971762,80303511,4816180,8648724,13721558,33963438,1445656,5722965,3216701,81149624,4060141
010-20871,99908160,14041473,18837586,9255397,35524208,19631448,70084219,3335859,6824217,11240068,15535936,3751779,6109702,2520853,76674283,2374302
010-20877,167105289,21298109,30051778,16135237,58338942,24670426,77728768,10453686,8855954,14136562,30491232,4077761,7875747,2370377,67424262,4522981
010-20950,254474874,24000326,37455213,17777173,74774910,24496125,71597626,13628585,11099039,14083998,61837490,22544331,16510349,5745487,69276148,15855085
010-20985,137460657,24582789,18833011,9860068,33734315,29693528,92247368,4608793,8546645,15088714,29939103,2017638,3227759,2271784,68944066,1664769
010-20993,201662382,22212893,29689292,14123934,48807806,26095727,79251161,6880561,10532269,17564287,34248931,16602761,14853131,3183023,74036225,8028001
010-20997,216897028,21573773,31383647,15669107,61627166,27051972,75593346,3693454,9060057,17319495,54051106,4594318,7058793,3046815,75531148,2803190
010-21003,53576824,13839827,16705627,8354185,25695261,21706226,69852943,7992577,7366247,19807106,14835292,7389417,13690858,1651071,59950266,5837008
010-21021,149523516,24373351,29425900,16435643,52897371,27714724,81680658,12482149,8487342,17267323,49081187,14255423,14607909,3281412,106452383,8934647
010-21028,258975436,21508210,31301096,17052973,62064435,17912514,79651702,3373920,9183844,18609707,30988308,10256360,11472003,5785098,69513310,5163337
010-21036,85751242,13550704,11704253,6852069,21288541,12178101,80230135,4045091,4855035,11383221,30824212,7558480,10247880,2380098,52570635,4644715
010-21043,104407512,16452249,19278422,9953071,30322757,13262852,73772716,7306118,7262531,12885291,26229029,13236756,5003588,2079009,59367931,5119624
010-21053,143457086,23344976,24671638,13361895,45476543,27363930,86554420,10367525,8291419,16412083,27851340,4438242,14909565,2646752,107663924,8861137
010-21081,112365715,20291274,23965244,12846268,42421760,22929335,81232756,5771847,7858654,12427704,19730148,3914610,5961890,2473654,74020797,5344512
010-21101,151320707,21260633,27074120,13909200,51652857,29615094,86209214,9854635,9676603,15892911,46937731,6100907,15260265,3877925,123189601,9812782
010-21125,142784921,22091570,28163885,14570157,52368114,26664445,94389855,17955188,8586257,8577733,31161855,4359794,18980357,4389673,67311266,17277123
010-21162,170846673,28457016,28844743,15250284,50925578,24897642,81591349,3346629,10020468,21059981,39419101,2207286,4033569,2993160,75903684,3189617
010-21186,201925879,20714662,27851870,15533617,54996553,29636364,86583832,4818641,9367507,14139148,36904906,3982468,8033170,2608270,79260022,2718959
010-21214,171873879,24684088,26874000,14445445,51558117,28478007,86344932,2992448,9204408,15727231,40706717,3824434,5612738,4637094,80643034,4278002
010-21240,204874731,27695504,23138224,11766226,39330966,21314647,68668905,1718973,8177076,17082366,39359046,1693274,3420703,3828752,66866089,3247449
010-21261,142929333,20530531,25508426,12289652,50532128,19871227,84092481,7718594,9884389,12259531,34103003,5446243,11257364,3551383,103600144,10622387
010-21288,137381491,21555721,21700170,11870199,36901982,21503590,87509888,4412695,7992008,23562123,21778741,1262491,3961997,3882160,61217386,3599383
010-21307,119598350,14878921,14623459,6292089,28148244,14963748,75279796,3148823,5947456,7918485,23914233,4833164,9582382,2647179,41626686,4812869
010-21323,210315021,25761250,31390813,14593119,46595612,31585527,94278836,3871915,10343658,19291214,36624762,4197378,5635034,1855223,92182176,3328316
010-21328,137567463,18745658,20508769,10509455,40457665,20214004,88988614,4272667,7498198,10770714,24782923,2270539,5922576,2454730,54986352,3391996
010-21330,172962624,20940694,23996034,12108381,42086137,26714359,89568410,7581555,9115543,14859665,36569254,9063471,11803798,3319551,61492347,7316410
010-21340,165790801,22424720,22893650,11106444,39384509,23355433,87463128,4179234,7933426,18256715,29366694,5996875,9447184,3044322,72205420,4145512
010-21342,139248791,17816531,25644125,14039444,47344742,25494414,74755806,3743658,9106138,16291816,38060796,7997321,12621637,2890029,94697331,5749466
010-21353,122987571,26668960,19006728,9047755,28038108,18141127,84880092,3985690,6529266,13819196,20598280,1399891,1554910,3442169,60142436,3483751
010-21429,63939799,12815402,12753174,7247276,21602764,15001975,67469766,2130204,5839815,8356711,16196591,2307018,1861869,1931296,52293923,895131
010-21471,165099509,18517439,28794226,13428323,52984732,30879491,85966325,4989105,10302033,19929323,32308219,7770705,14041842,4758592,82358302,7167119
010-21534,121527132,12888636,22705536,10700572,42153050,20455313,79541763,2115479,8183260,10739571,26122299,5308433,4914399,2667555,59177699,3271813
010-21561,165397489,16198444,25757264,10221024,46857006,22561619,83784446,6367572,10180139,10152127,18158902,5648214,9104679,3709671,63555315,4654273
010-21572,208634378,21177494,35905336,21356128,71598669,28011459,95233399,8632502,10448204,18974459,35900187,18253737,17370043,4545492,86211504,15072281
010-21573,197709529,21821905,28311851,13801910,52052424,22915720,82709662,2942348,8938887,11247813,24149001,2440962,2638170,2524444,72590296,2272884
010-21575,145724384,18944008,35244657,14613311,61506188,27099048,86255739,7128730,10242378,18093253,33202930,6979046,10116773,4282358,91409403,6295299
010-21584,173703260,19594856,32136654,17782434,58694686,27472877,82736691,12182860,10022210,17992478,51180245,13124466,15434805,3450558,57460087,8526077
010-21602,123365136,21753706,29131578,15999265,63023945,29883622,83662208,14418412,10688728,14336533,25701808,7263163,17228479,3409537,74979924,10885900
010-21603,137542266,18364833,23224142,12335029,39899701,16079963,77664618,10213520,6451244,12951698,31007317,19520374,10914985,2293853,64091625,9515757
010-21621,92299653,15505230,18698833,9422747,29869044,20535270,84896576,2192487,6441329,9340531,34457334,1890865,1729876,2655826,53838559,2433850
010-21647,171607999,21355865,34393111,17438965,60107754,32923695,103890700,5745950,11083802,18034521,39781918,4720177,8557481,3093126,78664738,3350696
010-21648,160994905,19586071,26243389,14495588,54083443,22943576,78041070,16879464,9227106,10245853,20369151,17346470,16046005,2967745,71625578,13395466
010-21696,122908059,19460133,24356412,10315034,42930201,21796185,91050938,4342220,8338312,13985442,24269685,6561525,8996928,2345656,123137187,4881921
010-21702,191987911,23219837,26580897,14956128,50038302,28919071,117165808,1754363,9639147,13990855,42035484,2010102,1496937,3915360,86613639,1363153
010-21759,164481291,21205295,26577088,14340510,48929463,23786343,84713306,12863393,9120386,13265826,31583769,4063590,12346807,2786050,61660720,7092419
010-21770,158140379,24900989,22624177,12963587,41632894,17550060,82677167,1584805,7388736,14548867,56054899,2207532,2573846,2404453,88477670,2733455
010-21772,222582553,19230247,25845509,13146295,49605620,24205902,62744209,4761831,9367839,15099177,58616022,7035886,13936739,3995053,71220839,10086251
010-21793,159909544,13911549,24516931,14597154,52820337,20337182,77329824,5726560,8115834,12953792,21146278,10611495,14399553,3397294,61680150,5621865
