Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
m/z,89.0247051385,115.0039371782,116.0724993947,130.0879144851,130.0879810103,145.0985078821,146.0467955466,168.9920736233,173.1048855043,179.056795049,181.0734667094,184.986363211,259.0238457977,267.0748931997,308.1021978903,346.0583421579
RT (s),879.4116187182,1378.6578601063,1069.1208127597,975.3368010598,934.5600565151,1599.5725790198,1262.8197736368,1312.8710062504,1689.3428584233,1400.7604980945,1174.9542100384,1406.2025626933,1398.8646975985,955.4091152249,1173.8052387924,1125.3457445571
ppm Error,3.4275713495,0.3232775548,6.8870294084,5.4923249372,6.0037083985,1.4326964233,6.1319154469,7.5365859698,2.8046827682,3.8817238202,9.2046032944,3.5851886214,5.195651622,9.7096350531,11.3530195771,7.3460383946
RT Error (s),36.8916187182,33.8178601063,42.0408127597,42.0968010598,1.3200565151,21.0325790198,43.0797736368,39.7910062504,28.7828584233,17.0404980944,33.0942100384,26.0225626933,45.3846975985,39.0891152249,41.6652387924,23.9857445571
010-04035-02,226913260,22356850,31747527,19294060,61455135,22695338,77690339,9902214,10282221,16917984,29502500,22645942,5487956,3096480,106374984,6657410
010-04048-02,132134112,23577055,24455571,12834705,43693999,15514936,66282158,6571208,8676312,16631860,38022582,3369061,7177080,2754499,65488183,3290324
010-04064-02,60878610,12904824,9401242,5590924,16352524,5584817,54774778,2840805,3816613,5662047,10128662,8826608,6087826,1765689,45320277,4726342
010-04087-02,118127703,12751490,14867177,8229238,27814044,10522809,61844853,4804911,5939678,6791702,11186446,4173030,3112867,2101669,59900741,3050297
010-04101-02,77255154,20810650,18819135,8835826,29437592,12403782,61263820,10172424,7422497,8866014,28137782,12845423,8039799,2904083,112846140,9955476
010-04123-02,82865178,16602655,12187985,6287491,19882200,13961233,77795125,6290277,6274833,9011807,11709499,2461968,4555091,1571553,51794576,2681601
010-10002-02,127919595,17644615,20021187,10263936,34891866,15327294,71905046,9734754,7455606,16418611,24643516,13586541,18306701,4261885,87586228,13079511
010-10015,218570253,18112483,26698935,11709683,43730315,16434819,69052776,1736614,9186518,14410443,22678683,3712640,2029077,2237135,68391216,1615363
