	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc_test_data	pbQC001	pbQC002	pbQC003	pbQC004	pbQC005
732	251.943905862078	251.943887333939	251.943924390216	10.8515	7.752	13.951	2	2	NA	NA	4235.42529296875	3825.7021484375	NA
1807	1097.9960969221	1097.99586266097	1097.99633118323	11.9055	9.921	13.89	2	2	3768.40576171875	3281.3037109375	NA	NA	NA
1749	970.000393919262	969.999461823342	970.001326015182	15.9705	15.94	16.001	2	2	NA	1542.67077636719	1312.95849609375	NA	NA
1768	1041.04081476512	1041.04027633819	1041.04123686316	18.003	15.94	18.146	5	5	229739.8125	150062.453125	156813.40625	138473.96875	134976.1875
1721	966.995348198322	966.99486437252	966.995888973442	18.052	17.99	18.146	5	5	235963.28125	199534.0625	191956	176989.15625	176943.125
1735	967.997538886521	967.997190103794	967.998091592198	18.052	17.99	18.146	5	5	47876.87109375	42962.984375	41654.015625	38944.03125	35978.28515625
1718	965.999283941872	965.999117403167	965.999450480577	18.0555	17.99	18.121	2	2	7623.05126953125	6950.265625	NA	NA	NA
1709	962.999812668263	962.999623074964	963.000002261561	18.0685	16.096	20.041	2	2	NA	7235.076171875	NA	NA	7250.75537109375
1813	1099.99273827216	1099.99219308604	1099.99328345827	18.0865	14.021	22.152	2	2	1718.28576660156	NA	1322.15734863281	NA	NA
1746	968.999373771353	968.998606850923	969.001293420876	20.071	7.895	34.404	4	4	NA	8098.42578125	7845.9873046875	7046.5009765625	6658.822265625
1713	964.002263368936	964.000734429163	964.002917153681	23.1815	11.852	28.397	4	4	2064.50415039062	1429.10229492188	NA	1649.25695800781	2194.625
1789	1043.04417380538	1043.04412993051	1043.04441912918	26.322	17.99	30.304	3	3	6050.056640625	3868.58227539062	NA	4028.29516601562	NA
1805	1097.995345057	1097.99457253384	1097.99580854419	30.304	24.296	34.453	3	3	NA	NA	3223.11596679688	3283.01416015625	2711.43627929688
731	251.944340716473	251.944296641736	251.944384791211	32.4195	30.447	34.392	2	2	NA	5095.0625	NA	NA	3718.99096679688
735	253.944002089297	253.943703703391	253.944165312385	32.4195	28.254	44.774	4	4	4573.32421875	4123.2001953125	NA	2949.99291992188	3503.61694335938
785	261.061613811572	261.061519498597	261.061989324866	35.4885	26.191	40.604	4	4	16123.80078125	12290.009765625	12594.732421875	9628.4658203125	NA
791	262.064406545158	262.063950497967	262.064476947166	38.623	26.191	44.704	3	3	2236.84912109375	2178.7119140625	1945.92053222656	NA	NA
1757	1004.02484323707	1004.02480272717	1004.02488374697	39.6255	38.553	40.698	2	2	NA	NA	1726.72998046875	NA	1555.44641113281
1715	964.002631876732	964.002336975074	964.002926778391	41.604	38.553	44.655	2	2	NA	NA	2046.63439941406	2136.90649414062	NA
1706	962.999411711654	962.998777576076	962.999712268765	46.7585	38.553	52.999	4	4	8557.818359375	7859.9384765625	6676.88720703125	NA	7662.79638671875
730	251.944013781807	251.943917048947	251.944110514667	50.83	48.755	52.905	2	2	NA	NA	4867.87060546875	4450.8837890625	NA
1790	1043.04468516852	1043.04311203025	1043.04505392933	54.894	42.654	55.049	3	3	NA	4166.00830078125	4139.451171875	NA	3718.19384765625
1733	966.994658032388	966.994452537118	966.994863527658	57.022	50.949	63.095	2	2	NA	202710.78125	NA	NA	175383.546875
1806	1097.99524514068	1097.99427359453	1097.99638907675	60.097	46.824	67.207	4	4	3684.67211914062	3231.71606445312	NA	2960.38842773438	2893.9267578125
1716	964.002511503953	964.002312871737	964.002710136169	60.162	57.099	63.225	2	2	2349.1376953125	NA	NA	NA	2226.08837890625
1811	1099.99321008694	1099.9929667315	1099.99345344238	67.291	65.206	69.376	2	2	1758.927734375	NA	1439.12634277344	NA	NA
1745	968.999396927939	968.998867863447	969.00008205992	68.3035	54.894	75.457	4	4	NA	7915.11962890625	7942.6484375	7662.89990234375	7551.7529296875
1750	970.000179682552	969.999613766491	970.000776065074	69.376	58.994	77.507	3	3	1602.20849609375	1497.29809570312	1397.41101074219	NA	NA
1787	1043.04434827638	1043.04316003085	1043.04553572206	71.356	69.257	79.627	3	3	4854.31494140625	NA	4494.998046875	4006.13647460938	NA
1756	1004.02570792142	1004.02462651778	1004.02602515024	71.391	61.056	79.651	4	4	1859.89685058594	NA	1829.140625	1403.74365234375	1438.13623046875
738	253.943986355814	253.943720182345	253.944252529284	75.4015	73.345	77.458	2	2	NA	4043.9375	NA	3798.8056640625	NA
786	261.061760585167	261.061669591422	261.061797408877	75.457	67.35	75.527	3	3	15103.21875	NA	12594.732421875	NA	10771.1171875
26	61.9883901878666	61.9883732867822	61.988407088951	110.3325	108.354	112.311	2	2	NA	NA	NA	3224.599609375	3738.43188476562
788	262.063954055905	262.063659182649	262.063962650391	112.299	110.31	114.48	3	3	2278.5029296875	1887.40966796875	2000.90576171875	NA	NA
783	261.061631200209	261.061477852683	261.061727376112	112.36	112.299	114.48	5	5	14062.146484375	11127.2451171875	11762.640625	10964.5341796875	10655.87109375
1710	964.001869200308	964.000408165145	964.003056238826	112.36	106.161	114.504	5	5	2354.36474609375	1973.45910644531	1829.56958007812	2003.2138671875	2106.7236328125
1720	966.995104082678	966.994487382425	966.996141750936	112.36	112.299	114.504	5	5	236039.1875	200916.859375	190618.984375	180799.203125	174980.28125
1748	970.00086617016	969.998950310684	970.000885659858	112.36	110.38	114.349	3	3	1435.29138183594	1343.59216308594	1465.89416503906	NA	NA
1769	1041.04052990269	1041.03998854177	1041.04164458476	112.36	112.299	112.454	5	5	188837.75	239083.09375	153553.640625	141781.546875	139170.203125
1785	1043.04393565804	1043.04296585004	1043.04545703552	112.36	108.199	112.454	5	5	4970.619140625	6703.5947265625	4921.88623046875	3861.8935546875	3698.14331054688
1803	1097.99486239666	1097.99432005677	1097.99645167314	112.36	112.299	116.555	5	5	4025.4326171875	3402.78393554688	3110.58618164062	3334.98266601562	2392.7392578125
1809	1099.99251857432	1099.99199885198	1099.99265171642	112.36	112.299	114.48	3	3	1658.28125	1473.16967773438	1767.0556640625	NA	NA
737	253.943861627243	253.943522974147	253.944300888928	112.3705	110.404	114.349	4	4	4896.0419921875	4077.69384765625	NA	3500.33227539062	3713.79467773438
562	204.013869517418	204.01367914019	204.014020611442	112.395	110.249	114.504	4	4	8282.0029296875	6535.2275390625	6706.74951171875	NA	5552.08251953125
1734	967.997437776941	967.996650543745	967.998408214239	112.43	112.299	114.504	5	5	48688.796875	40543.20703125	41057.421875	37188.53125	37667.32421875
1781	1042.04211343308	1042.04180420123	1042.04307386246	112.43	112.299	114.41	5	5	31996.474609375	35387.07421875	26214.255859375	24206.18359375	24105.4921875
1744	968.999619519899	968.998415815983	969.000144708487	112.454	112.311	114.41	5	5	9443.11328125	8063.39013671875	6800.37548828125	7355.20849609375	7132.84033203125
1704	962.99928610172	962.998578931317	962.999851119684	113.42	112.299	114.504	4	4	8079.9501953125	7799.75634765625	7173.7470703125	NA	8264.5
727	251.944166503356	251.943881999712	251.944222181414	114.355	112.454	114.41	4	4	NA	4139.9716796875	3907.51708984375	3891.97509765625	3743.67114257812
1755	1004.02465846218	1004.02330344859	1004.02487984047	114.4205	108.26	114.504	4	4	1739.71447753906	NA	1582.40991210938	1497.19445800781	1291.13610839844
1139	391.094090413268	391.0936030107	391.095591796624	129.396	129.384	131.589	3	3	NA	41091.5859375	NA	30222.333984375	38995.640625
604	233.020278207062	233.020226966984	233.020497073938	129.445	129.384	131.589	5	5	38557.15625	43601.76953125	42920.59375	44521.97265625	58200.2265625
605	234.005290821512	234.004798995602	234.005330811769	129.445	129.384	131.589	3	3	NA	28600.158203125	39790.47265625	NA	72240.4453125
1168	417.075374831055	417.074269673686	417.076187266395	129.445	129.384	131.589	5	5	527495.25	1017413	913501.3125	917487.3125	1407537.375
1172	418.077423906713	418.076868435061	418.077825237471	129.445	129.384	131.589	5	5	130095.2265625	247371.09375	225322.140625	202671.15625	309935.375
1188	434.099064125636	434.098728939081	434.099173744995	129.445	129.384	131.589	5	5	122816.1953125	111315.203125	144673.921875	162167.671875	216466.640625
1428	617.167186702922	617.166805420765	617.167567985079	130.4865	129.384	131.589	2	2	NA	26086.888671875	NA	NA	36657.49609375
1073	372.098547168988	372.098527005707	372.098782187171	131.434	129.396	131.589	5	5	52753.2265625	38257.28125	37745.01953125	42141.55078125	34505.421875
925	325.046526562614	325.046473746148	325.046587689675	131.495	131.434	131.589	5	5	17836.97265625	25295.576171875	19639.212890625	20556.099609375	38939.85546875
1165	416.088789969815	416.08863138957	416.088955228866	131.495	131.434	133.64	5	5	342901.875	322355.15625	316256.8125	333067.15625	380629.59375
1250	472.05474557344	472.054339713595	472.05521116252	131.495	129.515	137.74	5	5	19057.083984375	12822.0791015625	20226.16796875	18651.07421875	11881.37109375
1137	389.077877623127	389.077659058001	389.078239749895	131.53	131.434	131.589	4	4	36695.55078125	91843.421875	54700.27734375	NA	57231.59375
1138	390.106969494384	390.106695773852	390.107243214917	132.5675	131.495	133.64	2	2	NA	NA	21407.00390625	NA	21170.6796875
1251	473.046239106504	473.046222581528	473.048770715811	133.484	131.446	139.79	3	3	NA	5866.83740234375	NA	6367.86767578125	7119.7705078125
1190	435.086163380714	435.085594312343	435.08698437418	133.497	131.565	133.64	5	5	67637.9296875	90648.6484375	106451.578125	85838.0234375	196122.125
1395	599.156599379373	599.156227415708	599.156665662942	133.497	131.565	133.64	5	5	33182.6015625	33035.625	27937.77734375	27826.076171875	31223.013671875
1196	436.088329410651	436.087647930525	436.088910084243	133.545	133.484	133.64	5	5	15349.0185546875	22511.279296875	24895.134765625	20446.380859375	46168.44921875
1293	510.010721791532	510.010448261188	510.010985407149	133.545	133.497	139.79	3	3	NA	NA	6412.4970703125	6580.13232421875	3712.529296875
1396	600.159575683666	600.159181688286	600.159652116263	133.545	133.484	135.69	3	3	NA	14022.791015625	10311.4873046875	NA	12155.8095703125
1415	609.96614559197	609.96580035426	609.96649082968	134.5465	133.497	135.596	2	2	NA	NA	6456.70166015625	7734.24755859375	NA
726	251.031018747469	251.030956655005	251.031080839933	134.6175	133.545	135.69	2	2	NA	NA	11306.4775390625	NA	21683.59765625
1037	344.979002686013	344.978828017643	344.979031240694	135.5655	133.497	135.665	4	4	8974.984375	9013.5927734375	7572.326171875	7484.185546875	NA
