	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqd	pbQC61	pbQC62	pbQC63	pbQC64	pbQC65	pbQC66	pbQC67	pbQC68	pbQC69	pbQC70	pbQC71	pbQC72	pbQC73	pbQC74	pbQC75	pbQC76	pbQC77	pbQC78	pbQC79	pbQC80
1	60.9930246435921	60.9929250077902	60.9932676020057	1496.82	1486.74	1509.15	17	17	11299.9736328125	NA	NA	12932.880859375	11941.0400390625	12396.0458984375	NA	23357.21484375	24932.306640625	28423.892578125	31500.9140625	30411.470703125	33588.84375	35547.7890625	35534.5703125	35554.1015625	35368.359375	42725.8359375	43800.375	38811.29296875
2	60.993101050514	60.9929865806815	60.9931861071403	1603.23	1582.87	1635.97	15	15	NA	NA	NA	35365.16796875	NA	44182.2109375	46293.45703125	NA	45845.90234375	44191.28125	48984.7890625	42958.56640625	40785.5625	39595.53515625	52115.33984375	52602.51171875	48797.19921875	46559.52734375	40617.2421875	17531.013671875
3	60.9930283925005	60.9929931380378	60.993152912543	1004.77	992.41	1011.01	9	9	NA	NA	NA	131290.28125	NA	81992.96875	NA	NA	75471.6015625	NA	57303.5859375	NA	63010.8984375	NA	59843.83984375	62900.8203125	64959.5078125	NA	60926.98828125	NA
4	60.9932386322984	60.9931155572545	60.9933270670643	1703.83	1683.63	1722.59	12	12	NA	NA	NA	233868.90625	NA	325684.5	327888.84375	NA	236221.234375	321253.75	NA	278148.40625	306194.21875	212116.5	364462.65625	324777.75	350363	NA	267658.40625	NA
5	60.9930251249829	60.9929976853373	60.9930968414661	1570.645	1562.36	1577.05	6	6	44024.0625	50210.8125	41052.8046875	22479.3828125	33043.796875	NA	NA	46683.74609375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	60.993017288446	60.9929775814825	60.993066545793	980.106	975.962	986.593	5	5	125893.8203125	103678	105146.7734375	NA	98165.5859375	NA	NA	70493.765625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	60.9930991869617	60.9930755439146	60.9931958884862	1667.005	1656.67	1677.18	6	6	215926.546875	191471.359375	221404.625	NA	198879.203125	NA	NA	297664.15625	NA	NA	284504.09375	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	60.9930270659051	60.9929934258493	60.9931957702642	1029.51	1021.11	1037.3	6	6	NA	NA	NA	NA	NA	NA	79730.9140625	NA	NA	62096.71875	NA	64862.26953125	NA	59849.86328125	NA	NA	NA	69183.984375	NA	66814.9921875
9	61.9962552626834	61.9961936976989	61.9964276794295	1671.23	1669.02	1677.32	5	5	NA	NA	NA	NA	NA	NA	NA	NA	74073.9453125	NA	NA	NA	75969.0078125	NA	66753.3203125	70031.71875	71258.484375	NA	NA	NA
10	61.9962030149233	61.9960711770113	61.9962927671276	1726.38	1716.33	1728.58	5	5	NA	NA	NA	NA	NA	NA	NA	NA	73543.6875	NA	NA	NA	71973.65625	NA	74149.0546875	68436.4453125	68373.703125	NA	NA	NA
